,Respondents,Assessments,N of Assessments,Last Assessment
0,3613,['Basic_Demos'],1,Basic_Demos
1,3603,"['Basic_Demos', 'PreInt_EduHx']",2,PreInt_EduHx
2,3598,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx']",3,PreInt_DevHx
3,3579,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT']",4,WIAT
4,3535,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck']",5,SympChck
5,3527,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ']",6,SCQ
6,3493,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt']",7,Barratt
7,3476,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ']",8,ASSQ
8,3442,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P']",9,ARI_P
9,3400,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ']",10,SDQ
10,3328,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN']",11,SWAN
11,3246,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS']",12,SRS
12,3244,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL']",13,CBCL
13,3060,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P']",14,SCARED_P
14,2915,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P']",15,ICU_P
15,2696,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P']",16,APQ_P
16,2683,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT']",17,PCIAT
17,2681,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS']",18,DTS
18,2656,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN']",19,ESWAN
19,2655,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P']",20,MFQ_P
20,2489,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR']",21,APQ_SR
21,2355,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC']",22,WISC
22,2194,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P']",23,WHODAS_P
23,2194,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P']",24,CIS_P
24,2061,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI']",25,PSI
