,Amount missing,Persentage missing
"PreInt_EduHx,homework",1442,100.000
"PreInt_DevHx,skill_no_15",1442,100.000
"PreInt_DevHx,skill_range_15",1442,100.000
"PreInt_EduHx,imaginativeplay",1442,100.000
"PreInt_EduHx,instrument",1442,100.000
"PreInt_EduHx,listenmusic",1442,100.000
"ESWAN,Panic_A01",1442,100.000
"PreInt_DevHx,skill_range_10",1442,100.000
"PreInt_EduHx,reading",1442,100.000
"PreInt_EduHx,religion",1442,100.000
"ESWAN,Panic_A02",1442,100.000
"ESWAN,Panic_A03",1442,100.000
"PreInt_EduHx,shopping",1442,100.000
"PreInt_EduHx,sports",1442,100.000
"PreInt_EduHx,tvmovies",1442,100.000
"PreInt_EduHx,videocomputergames",1442,100.000
"PreInt_DevHx,skill_range_07",1442,100.000
"PreInt_EduHx,grades",1442,100.000
"PreInt_DevHx,skill_range_16",1442,100.000
"PreInt_DevHx,skill_no_16",1442,100.000
"PreInt_EduHx,crafts",1442,100.000
"PreInt_DevHx,skill_range_05",1442,100.000
"PreInt_DevHx,skill_range_04",1442,100.000
"PreInt_DevHx,skill_range_03",1442,100.000
"PreInt_DevHx,skill_range_02",1442,100.000
"PreInt_DevHx,skill_range_01",1442,100.000
"PreInt_EduHx,computerinternet",1442,100.000
"PreInt_EduHx,clubsorganizations",1442,100.000
"PreInt_EduHx,dancing",1442,100.000
"PreInt_DevHx,skill_no_05",1442,100.000
"PreInt_DevHx,skill_range_11",1441,99.931
"PreInt_DevHx,skill_no_06",1441,99.931
"PreInt_DevHx,skill_range_17",1441,99.931
"PreInt_DevHx,skill_range_08",1441,99.931
"PreInt_DevHx,skill_no_10",1441,99.931
"PreInt_DevHx,skill_no_07",1441,99.931
"PreInt_DevHx,skill_range_12",1440,99.861
"PreInt_DevHx,skill_range_14",1440,99.861
"PreInt_DevHx,skill_range_09",1439,99.792
"PreInt_DevHx,skill_range_13",1439,99.792
"PreInt_DevHx,skill_no_03",1438,99.723
"PreInt_DevHx,skill_range_06",1438,99.723
"PreInt_DevHx,skill_no_12",1437,99.653
"PreInt_DevHx,skill_no_11",1436,99.584
"PreInt_DevHx,skill_no_14",1436,99.584
"PreInt_EduHx,friendsout",1433,99.376
"PreInt_EduHx,friendsathome",1430,99.168
"PreInt_DevHx,skill_age_01",1421,98.544
"PreInt_DevHx,skill_no_08",1414,98.058
"PreInt_DevHx,skill_age_11",1393,96.602
"PreInt_DevHx,skill_age_02",1393,96.602
"PreInt_DevHx,skill_age_10",1392,96.533
"PreInt_DevHx,skill_age_08",1390,96.394
"PreInt_DevHx,skill_no_13",1389,96.325
"PreInt_DevHx,skill_age_05",1386,96.117
"PreInt_DevHx,skill_age_09",1380,95.700
"PreInt_DevHx,skill_age_04",1377,95.492
"PreInt_DevHx,skill_age_03",1352,93.759
"PreInt_DevHx,apgar5",1342,93.065
"PreInt_DevHx,apgar1",1337,92.718
"PreInt_DevHx,skill_no_09",1331,92.302
"PreInt_DevHx,skill_age_07",1319,91.470
"PreInt_DevHx,menstruation_age",1291,89.528
"PreInt_DevHx,skill_age_16",1186,82.247
"SRS,SRS_46",1010,70.042
"PreInt_EduHx,yrs_school",983,68.169
"PreInt_DevHx,menstruation",959,66.505
"PreInt_EduHx,number_schools",937,64.979
"PreInt_DevHx,skill_age_17",903,62.621
"CBCL,CBCL_113C",845,58.599
"PreInt_DevHx,skill_age_13",773,53.606
"CBCL,CBCL_113B",759,52.635
"PreInt_DevHx,skill_age_15",742,51.456
"PreInt_DevHx,puberty_age",690,47.850
"CBCL,CBCL_113A",615,42.649
"PreInt_DevHx,skill_age_12",608,42.164
"PreInt_DevHx,skill_age_14",576,39.945
"PreInt_DevHx,labor_dur",496,34.397
"PreInt_EduHx,getalongkids_neighborhood",290,20.111
"PreInt_EduHx,absent_skipping",257,17.822
"PreInt_DevHx,birthweight_ozs",254,17.614
"PreInt_DevHx,skill_age_06",246,17.060
"PreInt_DevHx,hospital_dur",244,16.921
"PreInt_EduHx,absent_other",243,16.852
"PreInt_EduHx,absent_late",237,16.436
"PreInt_EduHx,absent_ill",230,15.950
"PreInt_EduHx,recent_grades",214,14.840
"PreInt_DevHx,premature",171,11.859
"SDQ,SDQ_27",150,10.402
"SDQ,SDQ_28",146,10.125
"SDQ,SDQ_29_d",144,9.986
"SDQ,SDQ_29_c",139,9.639
"SDQ,SDQ_29_b",139,9.639
"PreInt_EduHx,current_religious",137,9.501
"SDQ,SDQ_29_a",136,9.431
"PreInt_DevHx,newborn_problems",134,9.293
"SDQ,SDQ_30",132,9.154
"PreInt_EduHx,number_friends",121,8.391
"PreInt_DevHx,birthweight_lbs",118,8.183
"PreInt_DevHx,m_birthage",99,6.865
"APQ_SR,APQ_SR_20A",96,6.657
"APQ_SR,APQ_SR_15A",94,6.519
"APQ_SR,APQ_SR_09A",93,6.449
"APQ_SR,APQ_SR_26A",91,6.311
"APQ_SR,APQ_SR_11A",91,6.311
"APQ_SR,APQ_SR_07A",91,6.311
"APQ_SR,APQ_SR_14A",90,6.241
"APQ_SR,APQ_SR_04A",90,6.241
"APQ_SR,APQ_SR_01A",83,5.756
"CBCL,CBCL_56H",75,5.201
"PreInt_DevHx,complications",74,5.132
"WHODAS_P,WHODAS_P_Days03",69,4.785
"WHODAS_P,WHODAS_P_Days01",64,4.438
"WHODAS_SR,WHODAS_SR_Days01",61,4.230
"WHODAS_P,WHODAS_P_Days02",61,4.230
"WHODAS_SR,WHODAS_SR_Days03",56,3.883
"PreInt_EduHx,afterschoolteams",56,3.883
"WHODAS_SR,WHODAS_SR_Days02",53,3.675
"PreInt_EduHx,bullied",42,2.913
"PreInt_EduHx,getalongkids_school",41,2.843
"PreInt_EduHx,suspension",32,2.219
"CBCL,CBCL_41",29,2.011
"PreInt_DevHx,preg_dur",29,2.011
"PreInt_EduHx,school_difficulty",26,1.803
"SCQ,SCQ_02",26,1.803
"SCQ,SCQ_03",25,1.734
"SCQ,SCQ_06",25,1.734
"PreInt_EduHx,expulsion",25,1.734
"SCQ,SCQ_04",25,1.734
"SCQ,SCQ_07",25,1.734
"SCQ,SCQ_05",24,1.664
"PreInt_DevHx,delivery",23,1.595
"PreInt_EduHx,tutor",23,1.595
