,Diag.Autism Spectrum Disorder,Diag.Enuresis,Diag.Major Depressive Disorder,Diag.ADHD-Combined Type,Diag.Oppositional Defiant Disorder,Diag.Social Anxiety (Social Phobia),Diag.Generalized Anxiety Disorder,Diag.Separation Anxiety,Diag.ADHD-Inattentive Type,Diag.Specific Learning Disorder with Impairment in Reading,Diag.Specific Phobia,Diag.No Diagnosis Given,Diag.Language Disorder,Diag.Specific Learning Disorder with Impairment in Mathematics,Diag.Other Specified Attention-Deficit.Hyperactivity Disorder,Diag.Other Specified Anxiety Disorder,Diag.Specific Learning Disorder with Impairment in Written Expression
"SCQ,SCQ_Total",0.8017476714055607,0.5000451089833037,0.5597676909135842,0.6127277394768815,0.5600204420693192,0.5074150523975866,0.5336744582343808,0.503539509482142,0.5028880057162339,0.4637846520513278,0.5445867665197067,0.3577097256955108,0.5774332572589393,0.520923487602008,0.4496618991426291,0.5095561634680024,0.49020678792805605
"ASSQ,ASSQ_Total",0.8565291687092933,0.5397656738680653,0.5273770491803279,0.6587246496618719,0.600100296295162,0.5013947079974186,0.5515458731046767,0.5180184094600827,0.511556926496892,0.4383689502877818,0.574581983494133,0.2893529689914545,0.5300930134864853,0.49162344649858913,0.43868769861283163,0.5264176384414817,0.4988082571713778
"ARI_P,ARI_P_Total_Score",0.5731427270817284,0.5648186017418082,0.6079322843726831,0.6543311162165243,0.8078150720066148,0.49107602003708295,0.5952885230179028,0.5651776105135798,0.45823903571245106,0.44905127244359544,0.5615216664415397,0.33672496916694694,0.46375036835472405,0.4911818156627118,0.4874858614594401,0.5451326419192764,0.47555470211659506
"SWAN,SWAN_Total",0.6569857833181596,0.5987249194052832,0.4189686135596013,0.8164199015967133,0.6817893318429253,0.41493049508804636,0.4896531472643405,0.5324154227691732,0.5622112111036908,0.48102974870544296,0.5475556746391141,0.2282748845893232,0.5337193481845598,0.5355313656033658,0.44353519823335563,0.4605017738695225,0.5265000268982708
"SRS,SRS_Total_T",0.8308155333006514,0.5351964345859597,0.5673218551775271,0.6822895862854472,0.6354608653043726,0.5709185711797907,0.5959050739861161,0.5748744961463131,0.5348538484170611,0.44926718551324657,0.5945682765828825,0.2386929222909568,0.5506499501545522,0.5199518997630781,0.4109210738925421,0.5205976755120518,0.4784634512274578
"CBCL,CBCL_Total_T",0.6401337628685482,0.5873917384400712,0.6481201087404235,0.7148813887300526,0.7673948994357377,0.5483666089593214,0.6574709707252466,0.6439993783297794,0.5201324447640886,0.43221680989207417,0.6173817585147819,0.21543773185724663,0.47738301994444904,0.5019806998665293,0.41149763255952876,0.541950168449603,0.4620577475985822
"SWAN,SWAN_HY",0.6644989144898104,0.608984506567868,0.35782024878490826,0.8514979671538022,0.7071930052904382,0.3628166647886169,0.47455799575264895,0.5450176139895855,0.44491866976140326,0.47799990171809065,0.5479509385580507,0.2763933371356704,0.5189263792141346,0.4829005158709999,0.48172394713777184,0.47407294431254304,0.4958606550027796
"SWAN,SWAN_IN",0.6158442467959941,0.5701113891161044,0.5098970261141775,0.7122127857545998,0.6105594389532435,0.48735748163779596,0.5072947827228718,0.5129982553126065,0.6633285386709756,0.490369908536398,0.5400052480419489,0.23166469237631437,0.5370345407008457,0.579362504445173,0.420773984106077,0.4597829001309516,0.557356079308057
"SRS,SRS_AWR_T",0.7470099446739967,0.5628933503344077,0.5084636296235274,0.6902567030172497,0.6241522666197087,0.474071133693236,0.5032233341706248,0.5060821741077696,0.5074336725401281,0.45299636971197255,0.5593571259330775,0.3149590273817009,0.5214660674763155,0.4905947064338397,0.4153768563720137,0.500480868244044,0.4858955928677742
"SRS,SRS_COG_T",0.7961376847118147,0.512783284415147,0.5133487107669495,0.6585680273653441,0.6044459586718015,0.5056776856964321,0.5731108849789917,0.5666632686484354,0.5215731785342343,0.47505973697304,0.5958896981157978,0.2902871008155525,0.5867412676418401,0.5378451648062367,0.41691557026671044,0.510059375085002,0.4801954009934427
"SRS,SRS_COM_T",0.8186357588066391,0.5409661742770533,0.5578556718016311,0.6799099004753348,0.6449358027148906,0.5600282731845235,0.5682769541240409,0.5299036745389278,0.52617325232222,0.4565861164517774,0.574795115999442,0.2501011519131117,0.5499277397754133,0.5087795055581983,0.43555151325228053,0.5063173458404411,0.48798170319850326
"SRS,SRS_DSMRRB_T",0.8349114083619301,0.5429852523697253,0.5459345909877256,0.6891024244946151,0.6380172724001439,0.5232915723373524,0.6144933007170259,0.6043269584283106,0.5362532515749999,0.45033354422993055,0.605147952710049,0.23064159561658798,0.5201752584752937,0.5170538778073865,0.41782998496785473,0.5320850835642148,0.4931118011679827
"SRS,SRS_MOT",0.7251519714265706,0.49717256892652645,0.64729219869841,0.5702555260331279,0.5528193977628566,0.7054973929255576,0.6269788146236756,0.6225099768043477,0.5568071751810841,0.449183031628347,0.5815051915756747,0.3048834437473493,0.5289377903732453,0.5219274039727148,0.431704116457506,0.5462488391160573,0.4502314745632019
"SRS,SRS_MOT_T",0.7166825407941733,0.4940991435307704,0.6541642639426642,0.5636104312303006,0.5507016912558474,0.708877370184083,0.6324043204238218,0.6242697046063758,0.555664395428881,0.45045639661664527,0.5850819425284047,0.30996358531127977,0.527359743060824,0.5252462741367128,0.4313882945125326,0.5491291913253311,0.44806691094281426
"SRS,SRS_RRB_T",0.8346957069822817,0.5429906654477217,0.5459683664222753,0.688836676308051,0.6377133210323628,0.5233156455198271,0.6146288848419803,0.6049787094660989,0.5361941744852354,0.45073742145125517,0.6056412022223354,0.23091580260996314,0.5202532399541046,0.5174418201887062,0.4175655758976443,0.5321249130551358,0.4932843984052314
"SRS,SRS_SCI_T",0.8169595209748581,0.5314084828946735,0.568458686877008,0.6723310958278229,0.6286927794323688,0.5799065755641832,0.5846665772287176,0.562279825130183,0.5332473251855208,0.4523249814185766,0.5879799910096833,0.2520486309149495,0.5579672775607707,0.520738753134713,0.4156265760494347,0.5169285050923462,0.47492632862513967
"CBCL,CBCL_AB_T",0.5563561874080818,0.5953206947986336,0.5715025949419227,0.7200751787023333,0.8507648549531823,0.472319425521671,0.5873143924689441,0.6031604911863206,0.4546477090698511,0.4362012199242,0.5694263912293482,0.29824215036780294,0.4532064103126783,0.4623828668018307,0.44727242458220917,0.5120654213960139,0.44387078070736474
"CBCL,CBCL_AD_T",0.6054314027592969,0.5358538228359717,0.6934887552516682,0.5788512171591311,0.6143040891794844,0.6644311046005388,0.7806273834261965,0.6971605379787028,0.5116391207087383,0.4374619925428601,0.6598604508001603,0.2936665496716828,0.4544274670361709,0.5000860169863343,0.41057220081379237,0.6122492199248486,0.45131711865723834
"CBCL,CBCL_AP_T",0.6284039498564324,0.5621986719915315,0.5461323008485048,0.7375033479174331,0.6423663800693652,0.48337721140351775,0.5533334427521008,0.5730404018797168,0.6121343875363686,0.4782081365135721,0.5706420768959936,0.20653697285228892,0.5391655119660423,0.5422175987290269,0.43212521238413737,0.5110891131429548,0.5065997895957488
"CBCL,CBCL_C",0.6895657959240844,0.6041235625270653,0.5479495839855013,0.7452100453277901,0.710215675315627,0.49295475266085487,0.6048068853900256,0.6212507603762107,0.5512772793715879,0.4549438871723681,0.6051496134828176,0.20262373438238834,0.5116129704751933,0.5221179113921127,0.43047387981138824,0.5303617294936409,0.49724516877170544
"CBCL,CBCL_Ext_T",0.5510028713495342,0.5842136602030507,0.5886382733338824,0.7245229275580176,0.8514669290193165,0.46825105768344283,0.5797277470770917,0.6092393229810757,0.4613923045669159,0.44237823792821734,0.5641097040060054,0.2948206564393551,0.4583582821816632,0.4688428002050552,0.43917612092308145,0.504902913187253,0.4449452171885928
"CBCL,CBCL_Int_T",0.6242954688703691,0.5324526054948757,0.75566850646676,0.5721583942600246,0.6270853590377682,0.6775366475788523,0.7485770802886372,0.6740008155243755,0.5358838446342592,0.427809173387716,0.6416057901181806,0.2729383290191433,0.45982033694268715,0.5053290120862526,0.39607254601452296,0.5973374471044932,0.44414275211151427
"CBCL,CBCL_OP",0.5852157013796484,0.6545054852523697,0.5450976192437598,0.6986496655789604,0.7153039896488099,0.46535869041887334,0.5780943151717208,0.5858456386157477,0.4948145259588936,0.46290533609341694,0.5861675343281731,0.2820864836670127,0.48223197883292684,0.5153046733201864,0.45246879728148304,0.5304530458874595,0.49335836864976657
"CBCL,CBCL_RBB_T",0.5317816373695637,0.5598133089544339,0.5953546420627729,0.6920020221884675,0.7979240198142604,0.4421024595621754,0.5256871260732554,0.5969772121098684,0.47529340064541137,0.47009987899039907,0.5303600333926045,0.3509039081199394,0.4863626460095428,0.49734501932784364,0.42812724931327084,0.45839469665471133,0.4692530350215485
