Diag,Best score,AUC
Diag.Autism Spectrum Disorder,"ASSQ,ASSQ_Total",0.8565291687092933
Diag.Enuresis,"SWAN,SWAN_Total",0.5987249194052832
Diag.Major Depressive Disorder,"CBCL,CBCL_Total_T",0.6481201087404235
Diag.ADHD-Combined Type,"SWAN,SWAN_Total",0.8164199015967133
Diag.Oppositional Defiant Disorder,"ARI_P,ARI_P_Total_Score",0.8078150720066148
Diag.Social Anxiety (Social Phobia),"SRS,SRS_Total_T",0.5709185711797907
Diag.Generalized Anxiety Disorder,"CBCL,CBCL_Total_T",0.6574709707252466
Diag.Separation Anxiety,"CBCL,CBCL_Total_T",0.6439993783297794
Diag.ADHD-Inattentive Type,"SWAN,SWAN_Total",0.5622112111036908
Diag.Specific Learning Disorder with Impairment in Reading,"SWAN,SWAN_Total",0.48102974870544296
Diag.Specific Phobia,"CBCL,CBCL_Total_T",0.6173817585147819
Diag.No Diagnosis Given,"SCQ,SCQ_Total",0.3577097256955108
Diag.Language Disorder,"SCQ,SCQ_Total",0.5774332572589393
Diag.Specific Learning Disorder with Impairment in Mathematics,"SWAN,SWAN_Total",0.5355313656033658
Diag.Other Specified Attention-Deficit.Hyperactivity Disorder,"ARI_P,ARI_P_Total_Score",0.4874858614594401
Diag.Other Specified Anxiety Disorder,"ARI_P,ARI_P_Total_Score",0.5451326419192764
Diag.Specific Learning Disorder with Impairment in Written Expression,"SWAN,SWAN_Total",0.5265000268982708
