,Diag.Autism Spectrum Disorder,Diag.Enuresis,Diag.Major Depressive Disorder,Diag.ADHD-Combined Type,Diag.Oppositional Defiant Disorder,Diag.Social Anxiety (Social Phobia),Diag.Generalized Anxiety Disorder,Diag.Separation Anxiety,Diag.ADHD-Inattentive Type,Diag.Specific Learning Disorder with Impairment in Reading,Diag.Specific Phobia,Diag.No Diagnosis Given,Diag.Language Disorder,Diag.Specific Learning Disorder with Impairment in Mathematics,Diag.Other Specified Attention-Deficit.Hyperactivity Disorder,Diag.Other Specified Anxiety Disorder,Diag.Specific Learning Disorder with Impairment in Written Expression
"SCQ,SCQ_Total",0.8039802372716421,0.4943925469736374,0.5600234337942216,0.6092372455615788,0.5555018356416322,0.5028467667395439,0.5337413276508212,0.4981214672994095,0.5022284562011875,0.46456766865935895,0.5428300412499132,0.36021249534950117,0.5785142419699532,0.5208077042559801,0.4574925693291573,0.5191389446201561,0.488378800878801
"ASSQ,ASSQ_Total",0.8614242712963268,0.542159936393467,0.5308426962314777,0.6562649750972361,0.5949690081919456,0.5012281368314403,0.5553536840354869,0.5163205657523606,0.5126276615315992,0.43668375209014104,0.5747340087677038,0.2871427047012577,0.5328936876016714,0.4959061820441131,0.45478843268468283,0.5237057447498226,0.5000715000715
"ARI_P,ARI_P_Total_Score",0.5750665302425128,0.5646808239066963,0.6093503316837641,0.6549513793150661,0.8145080620818914,0.4881874455642653,0.595281133464105,0.5590121259192918,0.460779119470741,0.4451389192467842,0.5616345847324987,0.3399355996043111,0.4657697433007631,0.4891997514756136,0.4912457854832361,0.5331459886629462,0.47146497146497146
"SWAN,SWAN_Total",0.6577517706196816,0.5991957443187559,0.4174719821025281,0.8147413935647762,0.6821926967435787,0.4115680380028084,0.4884580386094679,0.5338200919384748,0.5631149259545132,0.479440798461219,0.5489450232854681,0.23095530618307247,0.5355278406855708,0.5366797141969555,0.44779418895867923,0.46130485635935137,0.5275632775632777
"SRS,SRS_Total_T",0.8338230209501817,0.535615137929384,0.5689438509299181,0.6782259058255301,0.6301234758558724,0.5694138937769956,0.5956622087276243,0.5735266246242006,0.535573334785911,0.447737251505448,0.5955273445458317,0.24248710117466551,0.547587973447595,0.5218894066480273,0.4129213803647732,0.5191816557005055,0.47831597831597833
"CBCL,CBCL_Total_T",0.6427810971192913,0.5879475990661115,0.6501178769407217,0.7141032108714862,0.7648224551970068,0.5465458859915747,0.658119289644915,0.645979271107015,0.5193063496484522,0.42522588550944795,0.6184952290556622,0.21816823702114282,0.4784554098930035,0.5005330848089469,0.41265039620736277,0.5338271756367235,0.4569496444496445
"SCARED_P,SCARED_P_Total",0.589085989458418,0.5221472789061379,0.6510639013373546,0.5269019887455727,0.5412979881648498,0.7235697843900532,0.7690837872876372,0.7898477478046623,0.52252094846467,0.4702189047114239,0.6615331976712135,0.3440741830263283,0.4892237178328531,0.5387387387387388,0.39942351686091954,0.6213312277135772,0.439012064012064
"SWAN,SWAN_HY",0.6643559043341265,0.609624210901394,0.3592326317354459,0.8514557242654763,0.7058612423397937,0.3618287740628166,0.4783930325584546,0.5490768990646356,0.44846415610550233,0.47908970940208295,0.5508133735046608,0.27572266588221045,0.5224168819708037,0.4868313140726933,0.4828866373433284,0.4736122184354164,0.49928174928174934
"SWAN,SWAN_IN",0.6159750024640831,0.5706765107881148,0.5062699558934931,0.708527340380603,0.6110102522164582,0.48249946675198635,0.5020016074447479,0.5123860524056738,0.6626138380629466,0.4866367580682178,0.5394492741117848,0.23761309003654066,0.5371505959405868,0.5778645542093818,0.42715945848807957,0.4618841938338343,0.5556839306839306
"SRS,SRS_AWR_T",0.7441339178294792,0.5637886837808659,0.5088938682751736,0.6898839696553846,0.6194487634865258,0.4718378392790487,0.5024558183649023,0.5098497545458262,0.5056843233643342,0.4538160785128031,0.5590903207714045,0.3153268904097342,0.5207090682912825,0.4916160298229264,0.4264934079538129,0.5057966602125479,0.4893131768131768
"SRS,SRS_COG_T",0.7982627823330721,0.5159714355611574,0.5138222217502424,0.6528518377702627,0.598840351825463,0.5047870118558808,0.5725763613240172,0.5635635263644911,0.523385557609948,0.47385786767357735,0.5959294173479734,0.29578037532769796,0.5834507316796559,0.5413774464119292,0.4265903917575177,0.5084743164036832,0.4802147927147927
"SRS,SRS_COM_T",0.8219328423941188,0.541667331450665,0.5595075009380598,0.6767919826686453,0.6414716370553921,0.5582001324232567,0.5676547165569887,0.5282690370986983,0.5267080719807026,0.4549646315340816,0.5758060031686453,0.254675013050237,0.5481054121966693,0.5102354768561665,0.43899433500487767,0.506362855816154,0.4877978627978628
"SRS,SRS_DSMRRB_T",0.8388380166556371,0.5432056416229238,0.5496339797095908,0.6870063813003362,0.6346577388264529,0.5221153504328196,0.6162575945605548,0.6065997629072477,0.5373940243560268,0.4479189435088141,0.607572750609401,0.2267597631634351,0.5210138609790933,0.5192444858651755,0.4182611944981659,0.528294447997617,0.49376811876811877
"SRS,SRS_MOT",0.7248041640656901,0.4935688795996405,0.6451842136935483,0.5668625255794407,0.5456765023831752,0.7032663662702857,0.6252598240433087,0.6181905512220682,0.5552242433834917,0.4497573797007683,0.5808400025886058,0.3146037198222284,0.5219534907623007,0.5210537433985709,0.41929521299354766,0.5430483883685682,0.4470818220818221
"SRS,SRS_MOT_T",0.7163347585902629,0.49073623498252955,0.6518780663933903,0.5605794355513942,0.5436052633426227,0.7065047370198546,0.6305983420531566,0.6198730550404508,0.5537966747620462,0.4511484164107496,0.5840146400040267,0.3200869823526189,0.5202509932343111,0.5242367194780988,0.41932944257132587,0.5457654701723337,0.4449425074425075
"SRS,SRS_RRB_T",0.8386655308417151,0.543145146279071,0.5496711481143229,0.6867430828873935,0.6343313245400366,0.5221442347002258,0.6164000166287388,0.6072937608930741,0.5372853379761003,0.4482802783576136,0.6080838804159985,0.22712242996853524,0.521163599247233,0.5195799937868903,0.4179203249527917,0.5283404445456855,0.4938664313664313
"SRS,SRS_SCI_T",0.8190741149248337,0.5323317697613691,0.5695332356335265,0.6679604273017284,0.6225676870915435,0.5781791580013865,0.5837241600177372,0.5599978446113425,0.5338394915430177,0.45130859225582226,0.5884709968289579,0.25809979898309093,0.5539328003005397,0.5226144765455111,0.417850439564828,0.5164339095313609,0.4746450996450997
"CBCL,CBCL_AB_T",0.5597708324533037,0.5965372731092213,0.5746297318919072,0.7192736018064377,0.8506856454930259,0.471297370198546,0.5883517224601911,0.6036983496412022,0.45664775232455246,0.43141946536103437,0.5723946761006968,0.3044634694307213,0.4576081216618998,0.46126498912705816,0.4467145310262598,0.4994162819018915,0.4411026286026286
"CBCL,CBCL_AD_T",0.6055190766963452,0.5343646792284251,0.6968598007773507,0.5761111456324586,0.6076035224664285,0.6645803338132565,0.7823171069689812,0.6975413704555674,0.5104714059752329,0.43272136370094316,0.6596714388094331,0.2998309958268082,0.44947130873018404,0.5008244796520659,0.4074417954554531,0.6035042798692822,0.4459020709020709
"CBCL,CBCL_AP_T",0.6318808541528795,0.563605203397312,0.5453543033932984,0.7334108834925586,0.63703564935384,0.4814068637906824,0.5521561161425022,0.5773710204278818,0.6134577890877846,0.4710638408323406,0.5720573184440562,0.21042173174480946,0.540432433486084,0.5410375893134514,0.4290620525195821,0.5106405347865323,0.5021279396279397
"CBCL,CBCL_C",0.6934133104290946,0.6041669990586659,0.5484755644287747,0.744629502271212,0.7058037688565673,0.49101310456993547,0.6054281284354512,0.6252494490752267,0.5512413885956897,0.44917712647949204,0.6065828485689564,0.2004545231688571,0.5135933994662584,0.5216905871388631,0.4344346699983456,0.5283853459378477,0.49420930670930674
"CBCL,CBCL_Ext_T",0.5532406212305396,0.5857192431035307,0.592449327074882,0.7239218719885243,0.8509927557087401,0.46768128210597426,0.5807182845300379,0.609438930035341,0.46428868746935964,0.43778722363690015,0.56712818152838,0.2999917805137612,0.4638342211306391,0.4677918608263435,0.438941564405803,0.492361287552896,0.4416908791908791
"CBCL,CBCL_Int_T",0.6251406091839113,0.5310194861485606,0.7580478445865104,0.5689744421496524,0.6235820282611595,0.6756613386302635,0.7492467027366593,0.6739612327336646,0.5335984801378852,0.4199585250434422,0.6405199502412436,0.27725624897256423,0.4551254788966505,0.5046275240758,0.3905823021673027,0.5888171440086211,0.4378201253201254
"CBCL,CBCL_OP",0.5866332490069354,0.652507432285102,0.5463436909287853,0.6994756675404664,0.7131292249591105,0.4640074254785901,0.5796339521892966,0.5889608796958672,0.49527458342026526,0.45969169735849885,0.5873936094992246,0.27577602044200644,0.4837587140583855,0.5134631873252563,0.4576209302458254,0.5262136517754668,0.4914817414817415
"CBCL,CBCL_RBB_T",0.5309946447261582,0.5616075274821705,0.5990759226613994,0.6919426999461817,0.7960845202411955,0.4422553502550703,0.5262472323927831,0.5961609926679624,0.4788639678185539,0.4671895662342488,0.5317289969392134,0.3559196163086143,0.49241429477705834,0.49658962410686547,0.4250914214973158,0.4526739326610536,0.4666330291330292
"CBCL,CBCL_SC_T",0.5332342224370799,0.5211913195164627,0.7010863793725973,0.5476106722219122,0.5786588233642432,0.5484278071064186,0.6599650026636776,0.6351140683704146,0.5171608856475396,0.449519335854253,0.5898078439550062,0.3736477503121963,0.44545451323544527,0.5142292637465051,0.44511001956790863,0.5576402456653728,0.4619327119327119
"CBCL,CBCL_SP_T",0.6992277641927274,0.556602368758343,0.5426790632146068,0.6677071342284777,0.6791821391718201,0.5343939414138184,0.6020962218889632,0.6341413563340554,0.5216658461658631,0.47005155681358674,0.5896125000898822,0.2719445862425988,0.5471679974766,0.5292997825411618,0.46100110105141856,0.5084162731406443,0.5042055042055041
"CBCL,CBCL_TP_T",0.7106063521714439,0.5529134823513144,0.6102521079795254,0.66614946081751,0.636693002098879,0.5313605378694964,0.6690919476872196,0.6306416369061998,0.5040948814110833,0.4239899017497077,0.6244681972997006,0.2811439217620271,0.44631351472042363,0.49426654240447343,0.42439256761767846,0.565961240242161,0.46076027326027336
"CBCL,CBCL_WD_T",0.6465722649069202,0.517741755348852,0.7573000516817818,0.5252321502106914,0.6102293148107851,0.6922409081213672,0.6209860072242632,0.5484646572002988,0.5599142019953072,0.4233748128435755,0.5665373562185263,0.3202052275932479,0.5041647617123678,0.502628145386766,0.4063507276637743,0.5344667466860582,0.453490015990016
"SCARED_P,SCARED_P_GD",0.5727612436500971,0.4992860219857364,0.6506736330876679,0.5405297880026498,0.5296488589539299,0.6668982962725964,0.8093911572062488,0.7189103767099106,0.5210317138120605,0.46474799455743654,0.6362811082109139,0.3398245644393302,0.46227481668137466,0.5385330848089469,0.42049039575096836,0.6365977010487214,0.46230646230646233
"SCARED_P,SCARED_P_PN",0.553054054942012,0.525901314145008,0.6434611926456117,0.5295162786876786,0.5384804713001116,0.5809431602054782,0.7228578181247094,0.7091080035526751,0.5096358312529612,0.47465977147790733,0.6506586563697679,0.37726288224216054,0.47912258691021725,0.5290785958372166,0.4373798399196746,0.5801763639071658,0.45874202124202124
"SCARED_P,SCARED_P_SC",0.5864877507693415,0.5080531933564146,0.6259761131052255,0.45302993281677695,0.4928649522311995,0.8079640590838799,0.6399081262182861,0.6606972310688127,0.5462716203674679,0.46276645883651546,0.5888670774879977,0.42202447388077996,0.5257230852108208,0.5278875427151289,0.4237593204287825,0.5661025153540857,0.4366858741858742
"SCARED_P,SCARED_P_SH",0.49386834443344085,0.4975675553499157,0.6493453050995052,0.518380072312276,0.5512215966923353,0.5965895456726924,0.6709226486501467,0.6617228987747731,0.5313790168995759,0.48036565174151097,0.576628724416545,0.39961555876644256,0.4669579031680719,0.5468661074867972,0.4160419768722153,0.5451992745687276,0.47354253604253604
"SCARED_P,SCARED_P_SP",0.5663640146874995,0.5494007637038574,0.4597846710419189,0.5777164760561689,0.5653868360277137,0.5499514522120905,0.6277044795974613,0.8143717971110359,0.47058941420353695,0.5226390968404717,0.6533419380508277,0.4072293986508506,0.5214834543643831,0.5272009940975458,0.44273962130677114,0.569328844654325,0.46414758914758913
