Diag,N in best scale,Best scale,Score of best scale,CV ML scores at N,CV sum scores at N,Mean ML score at N,Median ML score at N,Std ML score at N,Mean sum score at N,Min ML score at N,Min sum score at N,Delta ML
ADHD-C,9,"SWAN,SWAN_HY",0.835,"[0.816616444253121, 0.8438561247429092, 0.7949012292533602, 0.8434495623475391, 0.838403405557947, 0.7951164681685559, 0.7910986750848998, 0.8372315492418806, 0.8456019514994978, 0.8489261969675228]","[0.8227866264887358, 0.8362749318410102, 0.7750035873152532, 0.8436887166977568, 0.811068063328072, 0.7454441096283542, 0.743650452001722, 0.8142966470560099, 0.8280958530635673, 0.8366575788013584]",0.826,0.838,0.022,0.806,0.791,0.744,-0.009
Any,12,"SRS,SRS_DSMRRB_T",0.790,"[0.7830501658791594, 0.7769679300291544, 0.804262591736202, 0.8058711169196743, 0.680908816728662, 0.8111993565899266, 0.8641298884085653, 0.7109178646828189, 0.80094500854529, 0.808987634462652]","[0.7800844475721322, 0.7418317080526791, 0.7758118025535338, 0.8011460741932241, 0.6860862571629637, 0.8002915451895043, 0.8539258067759123, 0.6650748969538554, 0.7675178445762542, 0.8127073489494321]",0.785,0.803,0.050,0.768,0.681,0.665,-0.005
SLD-Writing (test),10,"C3SR,C3SR_LP_T",0.685,"[0.668259105152309, 0.7447475214465504, 0.7158267837879488, 0.6220270200852726, 0.7141059228437869, 0.7048595058303797, 0.6670519340422253, 0.6813325114295987, 0.6731134740843479, 0.6936610674474752]","[0.6233882981455797, 0.7273334360713002, 0.6615811373092926, 0.6121898597626751, 0.6598602763651307, 0.6563415010016953, 0.63856783274259, 0.6157600041095186, 0.6452714850773104, 0.6576000410951867]",0.688,0.687,0.032,0.650,0.622,0.612,0.003
Phobia,13,"CBCL,CBCL_AD_T",0.670,"[0.6679079590929302, 0.6865829257447754, 0.7326589595375723, 0.6622387727879058, 0.7417741218319253, 0.7214317474433082, 0.7130947087594486, 0.562638950644731, 0.6958092485549132, 0.6591262783459315]","[0.6098265895953757, 0.6382836816362828, 0.6987550022232103, 0.6060471320586927, 0.7239328590484659, 0.658348154735438, 0.7263228101378391, 0.4792685638061361, 0.6576256113828369, 0.5754224099599823]",0.684,0.691,0.049,0.637,0.563,0.479,0.014
ODD,18,"CBCL,CBCL_AB_T",0.829,"[0.8378781766841469, 0.8191609519967729, 0.8136748688987495, 0.882129891085115, 0.85340863251311, 0.8488906817265026, 0.8682533279548206, 0.8384025816861638, 0.81807180314643, 0.8609923356192013]","[0.8341670028237193, 0.8110528438886648, 0.8061718434852764, 0.8781363453005244, 0.8283178701089149, 0.8284388866478419, 0.8705526421944333, 0.791125453812021, 0.7945542557482856, 0.8572004840661558]",0.844,0.844,0.022,0.830,0.814,0.791,0.015
SLD-Reading,10,"C3SR,C3SR_LP_T",0.694,"[0.7387474279835391, 0.7196502057613168, 0.7386831275720165, 0.7209362139917695, 0.7100051440329218, 0.6850565843621399, 0.6841885288065843, 0.7576517489711934, 0.7046039094650205, 0.727880658436214]","[0.7245691872427983, 0.6586934156378601, 0.7092656893004116, 0.6969200102880658, 0.6370563271604938, 0.6102752057613169, 0.6353202160493827, 0.7253086419753086, 0.6232317386831275, 0.6689814814814814]",0.719,0.720,0.022,0.669,0.684,0.610,0.025
GAD,9,"SCARED_P,SCARED_P_GD",0.773,"[0.7813670742913692, 0.818936877076412, 0.7710468650597301, 0.7850781084328833, 0.7873400721000918, 0.8491552979430268, 0.7795292288117621, 0.8307414999646567, 0.8098536792252774, 0.79472679720082]","[0.6965434367710469, 0.7804128083692655, 0.6840319502367993, 0.7551424330246695, 0.7290591644871705, 0.7813317311090691, 0.7670177422775147, 0.8132819679083904, 0.7741924082844418, 0.760267194458189]",0.801,0.791,0.024,0.754,0.771,0.684,0.028
ASD,27,"ASSQ,ASSQ_Total",0.835,"[0.8621694983412084, 0.8631748265808786, 0.8281894038403539, 0.864682818940384, 0.8738313059213834, 0.8588519151502966, 0.9142455011561275, 0.8778526188800644, 0.8375389564692872, 0.8549311350155826]","[0.8542274052478134, 0.8613149693374886, 0.8274856740725847, 0.8523172815924399, 0.8686538654870817, 0.8531215441841762, 0.9223383934854731, 0.8551322006635167, 0.8270332763647331, 0.8453805167387152]",0.864,0.863,0.022,0.857,0.828,0.827,0.029
SAD,7,"SCARED_P,SCARED_P_SC",0.778,"[0.747027290448343, 0.8117933723196882, 0.825925925925926, 0.7835282651072125, 0.826803118908382, 0.8194444444444444, 0.8004385964912281, 0.8456140350877194, 0.8255847953216375, 0.8174951267056529]","[0.7046296296296295, 0.7370857699805069, 0.8116471734892787, 0.7501461988304093, 0.7492690058479532, 0.8074074074074075, 0.7987329434697855, 0.8121832358674463, 0.7540448343079921, 0.7632066276803119]",0.810,0.818,0.026,0.769,0.747,0.705,0.032
Language,10,"C3SR,C3SR_PI",0.685,"[0.7745571658615137, 0.6790660225442834, 0.7736446591519055, 0.7079978529253891, 0.7589371980676327, 0.7232420826623724, 0.740096618357488, 0.6848631239935588, 0.6470209339774556, 0.7181964573268921]","[0.6700483091787439, 0.6154052603327966, 0.6793344068706387, 0.7260869565217392, 0.7424047235641439, 0.6159957058507782, 0.6517981749865807, 0.6278582930756844, 0.5566290928609768, 0.6688674181427805]",0.721,0.721,0.040,0.655,0.647,0.557,0.036
