Diag,N in best scale,Best scale,Score of best scale,CV ML scores at N,CV sum scores at N,Mean ML score at N,Median ML score at N,Std ML score at N,Mean sum score at N,Min ML score at N,Min sum score at N,Delta ML
Any,12,"SRS,SRS_DSMRRB_T",0.790,"[0.7726917057902973, 0.770735524256651, 0.7797339593114241, 0.645735524256651, 0.6905320813771518, 0.8002738654147105, 0.7701486697965572, 0.7065727699530516, 0.7492175273865416, 0.8583724569640062]","[0.7126369327073553, 0.7384585289514867, 0.7398278560250392, 0.6609937402190923, 0.7235915492957746, 0.8094679186228482, 0.7891236306729263, 0.7114632237871674, 0.7746478873239437, 0.8626760563380281]",0.754,0.770,0.057,0.752,0.646,0.661,-0.036
ADHD-C,9,"SWAN,SWAN_HY",0.835,"[0.8573392302175472, 0.8587736074587617, 0.8322973942146784, 0.83080325125508, 0.8038489122639254, 0.8584150131484579, 0.8587736074587617, 0.7964379631843176, 0.8218981592158738, 0.8463423380349032]","[0.8472985895290461, 0.8569806359072435, 0.8276356681807315, 0.8255438680372938, 0.8054625866602917, 0.8547095386086541, 0.855785321539565, 0.7935692087018886, 0.8135309586421229, 0.8388118575185274]",0.836,0.839,0.022,0.832,0.796,0.794,0.001
SAD,7,"SCARED_P,SCARED_P_SC",0.778,"[0.7835, 0.7402000000000001, 0.7353000000000001, 0.8557, 0.8490000000000001, 0.708, 0.748, 0.7825, 0.8674000000000001, 0.8414999999999999]","[0.7844, 0.722, 0.7279, 0.8189000000000001, 0.7439, 0.6661999999999999, 0.7202, 0.7984, 0.8407, 0.8492999999999999]",0.791,0.783,0.055,0.767,0.708,0.666,0.013
GAD,9,"SCARED_P,SCARED_P_GD",0.773,"[0.801440329218107, 0.7453703703703705, 0.8037184009406231, 0.779320987654321, 0.8443562610229277, 0.7993827160493827, 0.7893885949441505, 0.8106995884773663, 0.7660199882422105, 0.7536743092298649]","[0.7446355085243974, 0.7679306290417401, 0.7766754850088183, 0.7818195179306292, 0.7840241034685479, 0.7296443268665491, 0.7731481481481481, 0.7713109935332156, 0.7499265138154028, 0.7037771898883011]",0.789,0.794,0.028,0.758,0.745,0.704,0.016
ODD,18,"CBCL,CBCL_AB_T",0.829,"[0.8647081561654426, 0.8515655199072284, 0.8780440664862775, 0.876691148047932, 0.8129107073830693, 0.8685736374178586, 0.8641283339775802, 0.8498260533436414, 0.8196752995747971, 0.8223811364514882]","[0.8627754155392345, 0.8479899497487436, 0.8739853111712408, 0.8852918438345575, 0.8156165442597603, 0.8674139930421337, 0.853401623502126, 0.8485697719366061, 0.7759953614224971, 0.8225744105141091]",0.851,0.858,0.023,0.845,0.813,0.776,0.022
NVLD (test),12,"SRS,SRS_COG_T",0.667,"[0.6832901554404145, 0.7056347150259067, 0.7352655440414507, 0.6999676165803108, 0.6955958549222798, 0.6698510362694301, 0.739151554404145, 0.6206282383419689, 0.7185880829015544, 0.7284650259067358]","[0.6513924870466321, 0.7036107512953368, 0.7264410621761658, 0.7027202072538861, 0.6839378238341969, 0.6153659326424871, 0.7380990932642486, 0.6088082901554405, 0.6815900259067357, 0.692681347150259]",0.700,0.703,0.034,0.680,0.621,0.609,0.033
ASD,27,"ASSQ,ASSQ_Total",0.835,"[0.8546244251405212, 0.9115993868165558, 0.8939703628002044, 0.8906489524782831, 0.8771078180889116, 0.892692897291773, 0.8773633111905978, 0.9041900868676546, 0.8957588145120081, 0.9047010730710271]","[0.8205160960654062, 0.9044455799693409, 0.8638221768012263, 0.8847726111394992, 0.8597342871742463, 0.889626980071538, 0.8768523249872253, 0.9084057230454777, 0.9190086867654573, 0.8928206438426162]",0.890,0.893,0.016,0.882,0.855,0.821,0.055
SLD-Writing (test),10,"C3SR,C3SR_LP_T",0.685,"[0.7731494511680269, 0.7737123557556995, 0.7587953841823811, 0.7555586828032649, 0.6446664790318041, 0.7670982268505488, 0.7568252181255278, 0.7835631860399662, 0.7758936110329299, 0.7916549394877568]","[0.6963129749507457, 0.7350126653532226, 0.6382634393470307, 0.7492963692654095, 0.6256684491978609, 0.6872361384745286, 0.7307205178722207, 0.7855333520968196, 0.7215029552490853, 0.7619617224880383]",0.758,0.770,0.039,0.713,0.645,0.626,0.073
ADHD-I,9,"SWAN,SWAN_IN",0.622,"[0.7039541606442288, 0.7024055337600661, 0.6832025603964486, 0.7201115011356597, 0.6755626677679124, 0.6629671691100558, 0.6964175098079705, 0.7644538509188519, 0.6583729093537064, 0.7484513731158373]","[0.6437125748502994, 0.6912554201940946, 0.6759240140408838, 0.6276584761511459, 0.5759859591162504, 0.6760272558331613, 0.6842865992153624, 0.738333677472641, 0.6372083419368161, 0.7351331819120379]",0.702,0.699,0.033,0.669,0.658,0.576,0.080
NVLD no read (test),12,"SRS,SRS_COG_T",0.669,"[0.7541743970315399, 0.6877319109461967, 0.75069573283859, 0.7380565862708719, 0.7876855287569573, 0.7469851576994434, 0.7189239332096474, 0.7912801484230055, 0.7856563079777367, 0.7609577922077922]","[0.7210691094619666, 0.666048237476809, 0.7469851576994435, 0.7000231910946196, 0.7666975881261596, 0.7294758812615956, 0.7192717996289424, 0.7700023191094619, 0.75487012987013, 0.7444341372912802]",0.752,0.752,0.031,0.732,0.688,0.666,0.083
