Number of features,All assessments
27,0.835234285069901
26,0.8343516904844893
25,0.834478187580365
24,0.8341954381961918
23,0.8340298642984555
22,0.8353525333102917
21,0.8358777214266675
20,0.8375385331023313
19,0.8366689946281755
18,0.8371048787238842
17,0.8347732132239442
16,0.8339019393048261
15,0.8348883438875724
14,0.8359221418612757
13,0.8354026561827241
12,0.8363217262331911
11,0.833643209723764
10,0.8321769857298096
9,0.831113544232611
8,0.8306326868495744
7,0.8270235874063812
6,0.8292045145001186
5,0.8217750489878768
4,0.8180170710668374
3,0.8120449875663056
2,0.7833899244605476
1,0.7678641798301753
