Number of features,All assessments
27,0.7307340067340067
26,0.7293557800224467
25,0.7299079685746352
24,0.7238877665544331
23,0.7198002244668912
22,0.7195308641975309
21,0.7212166105499438
20,0.7173602693602693
19,0.7172817059483727
18,0.7168282828282828
17,0.7179955106621774
16,0.7161997755331089
15,0.7134231200897868
14,0.7130347923681256
13,0.7074320987654321
12,0.7049876543209876
11,0.7047968574635242
10,0.7025364758698093
9,0.6976902356902357
8,0.6966644219977554
7,0.6944219977553312
6,0.6894814814814814
5,0.6885791245791246
4,0.6751582491582492
3,0.6630549943883277
2,0.6352547699214366
1,0.6210460157126823
