Number of features,All assessments
27,0.8029657183070272
26,0.8045541369257062
25,0.8035085955564492
24,0.800256358701116
23,0.7996129486277268
22,0.7955665024630543
21,0.7942093093394994
20,0.7940735900271438
19,0.7929777822459032
18,0.7900371971448679
17,0.7878807680707751
16,0.7842163466371771
15,0.7857394189202774
14,0.782527395194531
13,0.7813561877953152
12,0.7847240373982105
11,0.7862521363225092
10,0.7793706645219665
9,0.7787172011661807
8,0.7836030964109781
7,0.7829194732080025
6,0.7844324922087061
5,0.7785915351362219
4,0.774228410576053
3,0.7630391072685232
2,0.7615059817030261
1,0.7530712777721925
