Number of features,All assessments
27,0.8635467980295566
26,0.8640595154317884
25,0.8611842766663316
24,0.8609530511712074
23,0.8588921282798833
22,0.8570021111893033
21,0.8538403538755404
20,0.8530763044133909
19,0.8530612244897959
18,0.8516688448778525
17,0.8538252739519454
16,0.8474464662712375
15,0.8452799839147481
14,0.8467477631446668
13,0.8475118126068161
12,0.8478033577963204
11,0.8510907811400422
10,0.8490901779430985
9,0.847954157032271
8,0.8410777118729265
7,0.8407509801950337
6,0.8376193827284609
5,0.8335427767165979
4,0.8332964712978788
3,0.8107570121644716
2,0.7857394189202775
1,0.7609228913240174
