Number of features,All assessments
27,0.7970083246618106
26,0.7964880332986473
25,0.7970187304890739
24,0.7952861602497399
23,0.7940582726326743
22,0.7918886576482831
21,0.793480749219563
20,0.7900728407908428
19,0.7881893860561915
18,0.7867221644120708
17,0.7853772112382935
16,0.7873178980228928
15,0.7837565036420395
14,0.779274193548387
13,0.7776404786680541
12,0.7780541103017691
11,0.7749401664932363
10,0.772302289281998
9,0.7724921956295525
8,0.7708220603537982
7,0.7601170655567117
6,0.7478381893860562
5,0.7401612903225805
4,0.725496878251821
3,0.7027809573361082
2,0.692445369406868
1,0.6515400624349635
