Number of features,All assessments
27,0.8322764227642276
26,0.8304860451201914
25,0.8288804420511738
24,0.8268435223313272
23,0.8242433921092458
22,0.8213711153345299
21,0.8204311406750431
20,0.8192059972547778
19,0.8178187801358533
18,0.8180068102629079
17,0.8199421919543871
16,0.8212473163692676
15,0.8213779783901736
14,0.8220085876183438
13,0.8214398338788582
12,0.8234795692112765
11,0.823252120508218
10,0.8226564424735155
9,0.8195671435610461
8,0.8200002639636785
7,0.814284658431
6,0.8103179882448174
5,0.8084578362017387
4,0.8005643543448422
3,0.7924680603948897
2,0.7776034737620102
1,0.7533264262837432
