Number of features,All assessments
27,0.734170692431562
26,0.7341170155662908
25,0.7299409554482017
24,0.7288137412775095
23,0.7286634460547505
22,0.7307890499194848
21,0.7251100375738057
20,0.7264626945786367
19,0.7202683843263553
18,0.7260654857756308
17,0.7325496511003757
16,0.7230703166935052
15,0.7245464304884595
14,0.726886741814278
13,0.7219484702093397
12,0.7170585077831455
11,0.7197316156736446
10,0.7207622114868492
9,0.7196618357487922
8,0.7141116478797638
7,0.7180300590445517
6,0.7058722490606548
5,0.7043209876543208
4,0.6902308105206656
3,0.6686205045625335
2,0.6482608695652173
1,0.6091787439613526
