Number of features,All assessments
27,0.7504746317512275
26,0.748582651391162
25,0.74759410801964
24,0.7455973813420622
23,0.7468281505728315
22,0.7460818330605565
21,0.7432667757774141
20,0.740923076923077
19,0.7409950900163667
18,0.7395351882160394
17,0.7393977086743045
16,0.7375122749590834
15,0.7331096563011457
14,0.7336366612111294
13,0.7293486088379706
12,0.7318461538461538
11,0.7302782324058918
10,0.7276333878887071
9,0.7283306055646481
8,0.7204255319148937
7,0.7151783960720131
6,0.7055875613747955
5,0.695950900163666
4,0.6985728314238953
3,0.6970605564648118
2,0.6820458265139117
1,0.615633387888707
