Number of features,All assessments
27,0.7492910954096674
26,0.7470778157315989
25,0.7485237003415844
24,0.7443966122315286
23,0.744995554723691
22,0.7445323101399093
21,0.7406766178466146
20,0.7397314117261711
19,0.737630433765383
18,0.7358476440035562
17,0.7335080248935474
16,0.734748023021852
15,0.7302231996630948
14,0.730302746712835
13,0.7296336156473726
12,0.7296336156473726
11,0.7268681858593421
10,0.7259650928828786
9,0.7229797388985072
8,0.7179846520986384
7,0.7077394600159094
6,0.7056361424360114
5,0.7052196902344299
4,0.6866524729773993
3,0.6606312292358805
2,0.6455664217865331
1,0.6086074587057226
