Number of features,All assessments
27,0.7876151457455008
26,0.784098634829969
25,0.7834017375480045
24,0.7851519787841698
23,0.7834680693983019
22,0.7788827041764618
21,0.7781441491325213
20,0.7782571415619151
19,0.7735389507360132
18,0.7756275054561468
17,0.773155514755882
16,0.7740191564181773
15,0.7745392308290105
14,0.7767001887794421
13,0.771494781851269
12,0.7748098443783877
11,0.7723875175665261
10,0.7745956865678407
9,0.76588373388251
8,0.7635075738441712
7,0.763707297960664
6,0.7695284156774365
5,0.7675022504581868
4,0.7714039297209432
3,0.7594732875470329
2,0.7509372996444601
1,0.7437612927668008
