Number of features,All assessments
27,0.8481304621333774
26,0.8482446343736921
25,0.8480788631592289
24,0.8462344525652121
23,0.8452552080467302
22,0.846084012009398
21,0.8441132772049886
20,0.8452909552657426
19,0.8438360330300135
18,0.8444766273634853
17,0.845366076535317
16,0.8448095454871376
15,0.8451323334950815
14,0.8430889369965164
13,0.8416620601737211
12,0.8423600376523478
11,0.8431304944413596
10,0.8417996869669183
9,0.8413205022703132
8,0.8414947934123399
7,0.8415171223968103
6,0.84102002240298
5,0.8362418750635738
4,0.8256234815248368
3,0.8212458281015247
2,0.8142134329919942
1,0.7917201207443092
