Number of features,All assessments
27,0.7305278941497415
26,0.7300874240400935
25,0.7286608780999544
24,0.7277004562748093
23,0.726045028505723
22,0.7240736785324077
21,0.7217156860499475
20,0.7198552696075624
19,0.7181058439595124
18,0.7130084847186878
17,0.710632998266064
16,0.7063360096339951
15,0.7065389511405724
14,0.7065043067806742
13,0.6996993384931478
12,0.6961169112577562
11,0.6968187744944215
10,0.6909371929249918
9,0.6841869398207427
8,0.6803080742546024
7,0.6751443467276255
6,0.6779657719450547
5,0.6685586543328929
4,0.6670988813021239
3,0.6599508622723493
2,0.6412279621786664
1,0.6258523371486031
