Number of features,All assessments
27,0.8466304650515177
26,0.8468003341687552
25,0.8464327485380118
24,0.8476524644945698
23,0.8450264550264551
22,0.8432358674463938
21,0.8456669451406293
20,0.8387858535226955
19,0.8389752158173209
18,0.8380144806460595
17,0.8364800891116679
16,0.8333570036201616
15,0.8351044277360067
14,0.8351963241436927
13,0.8397368421052633
12,0.8394082428292956
11,0.8333458646616542
10,0.8310763018657756
9,0.8290545808966862
8,0.8297577276524646
7,0.8208939014202172
6,0.8174770258980786
5,0.8144388749651907
4,0.8197841826789194
3,0.8138666109718742
2,0.8058785853522694
1,0.7623851294903928
