Number of features,All assessments
27,0.7331207768558186
26,0.7305932123937458
25,0.7272340137100153
24,0.7278883856777978
23,0.725160880677595
22,0.727316901360866
21,0.7280488440409747
20,0.7246859332135086
19,0.7269954651877779
18,0.7266730112369422
17,0.7252720422787411
16,0.7253335228117356
15,0.7228203550481777
14,0.7211133263848535
13,0.7226316776355799
12,0.7232119967701393
11,0.7227455716110112
10,0.7190528754544103
9,0.7159046608308446
8,0.7157265286092679
7,0.713357395401165
6,0.7125947335702798
5,0.7134380490087435
4,0.7155011816357421
3,0.7048924322945525
2,0.69077096875549
1,0.6429395955241428
