Number of features,All assessments
27,0.6939520202020202
26,0.6946401515151515
25,0.6966477272727272
24,0.6917171717171717
23,0.692739898989899
22,0.6974116161616162
21,0.7019002525252525
20,0.6982954545454545
19,0.7006313131313131
18,0.6992171717171717
17,0.7010353535353535
16,0.7023295454545454
15,0.7034974747474747
14,0.7027051767676767
13,0.7046559343434343
12,0.7086363636363637
11,0.7125126262626262
10,0.7099621212121212
9,0.7078598484848484
8,0.7030208333333333
7,0.7051736111111111
6,0.7102904040404041
5,0.714592803030303
4,0.7128630050505051
3,0.7114930555555555
2,0.7221117424242424
1,0.6417361111111111
