Number of features,All assessments
27,0.8157888198757763
26,0.8150124223602484
25,0.8132360248447205
24,0.8130124223602484
23,0.8132608695652174
22,0.81355900621118
21,0.8123975155279503
20,0.8137639751552795
19,0.8109440993788819
18,0.8135
17,0.8138012422360248
16,0.8138509316770186
15,0.810027950310559
14,0.8119503105590061
13,0.81122049689441
12,0.8118726708074535
11,0.8126273291925464
10,0.8117236024844722
9,0.8094409937888198
8,0.8089037267080744
7,0.8094782608695652
6,0.8017795031055901
5,0.7949378881987579
4,0.7792204968944099
3,0.7599192546583851
2,0.7143664596273293
1,0.6601459627329193
