Number of features,All assessments
27,0.7208526234567901
26,0.7208076131687243
25,0.7161458333333333
24,0.7143197016460905
23,0.7132587448559671
22,0.7138374485596708
21,0.7138310185185185
20,0.7131494341563787
19,0.7134323559670782
18,0.7120241769547325
17,0.7124099794238684
16,0.7167663323045267
15,0.716872427983539
14,0.7169945987654321
13,0.718335262345679
12,0.718454218106996
11,0.7211966306584363
10,0.7187403549382715
9,0.7152842078189301
8,0.7101466049382716
7,0.7036040380658436
6,0.6924704218106996
5,0.6748842592592592
4,0.6721514917695474
3,0.6464666923868313
2,0.6383937757201645
1,0.5696952160493826
