Number of features,All assessments
27,0.7242835731516142
26,0.7210367861197076
25,0.719103536292012
24,0.7216500415557388
23,0.7191728549806073
22,0.7200652940321904
21,0.7194238111004501
20,0.7170158165195886
19,0.7168876166432423
18,0.717681795799154
17,0.7157183526021326
16,0.7159173598253983
15,0.71864661109572
14,0.7159826137377191
13,0.7144541332756733
12,0.7159302847581659
11,0.7161898962120086
10,0.7131697568820358
9,0.7154531877136912
8,0.7093713300877063
7,0.71174643271011
6,0.7154462279720799
5,0.7047803225975378
4,0.692881320357582
3,0.6759883255402246
2,0.663232090490155
1,0.6316768226245658
