Number of features,All assessments
27,0.7103546020453535
26,0.709159626500667
25,0.7029791018230325
24,0.6998277012005335
23,0.7018730546909738
22,0.6996109381947533
21,0.695475767007559
20,0.6921965317919075
19,0.6881725211204979
18,0.6836816362827924
17,0.682770120053357
16,0.6801522899066252
15,0.6832814584259671
14,0.6843763895064473
13,0.684326367274344
12,0.6756169408626056
11,0.6730935971542908
10,0.6774566473988439
9,0.678106936416185
8,0.6715095598043576
7,0.6769786571809694
6,0.6735215651400622
5,0.6704813250333481
4,0.6698810582481103
3,0.6658459315251223
2,0.66674077367719
1,0.6119719875500221
