Number of features,All assessments
27,0.842504157757187
26,0.8427655024946544
25,0.8423093371347115
24,0.8428415300546448
23,0.8436968401045378
22,0.8424994060346875
21,0.8427108576859113
20,0.8413494891898313
19,0.8404632929436922
18,0.8398859586600143
17,0.8387716797339035
16,0.8366880494179141
15,0.8325754335946781
14,0.8330149679258732
13,0.8328082679971489
12,0.8317581373247801
11,0.8281420765027321
10,0.8248515086718935
9,0.8233452126395818
8,0.823568543597054
7,0.8222119268234735
6,0.8206034687574245
5,0.820182941316227
4,0.8171394630553577
3,0.8077904490377762
2,0.7957495842242814
1,0.7533879781420765
