Number of features,All assessments
27,0.7315005574136009
26,0.7332084726867335
25,0.7342943143812709
24,0.7360423634336677
23,0.7354247491638797
22,0.7346688963210704
21,0.735438127090301
20,0.7344838350055742
19,0.7307848383500557
18,0.7275072463768117
17,0.7272151616499444
16,0.72558751393534
15,0.7264080267558529
14,0.7234403567447046
13,0.7200891861761427
12,0.7167915273132663
11,0.7156499442586399
10,0.7157547380156075
9,0.7094827201783722
8,0.7030791527313267
7,0.7025529542920846
6,0.7003076923076923
5,0.6908361204013377
4,0.6704816053511706
3,0.6666956521739131
2,0.6373199554069119
1,0.6032976588628763
