Number of features,All assessments
27,0.8065617191404298
26,0.8063418290854573
25,0.8030334832583709
24,0.8020539730134933
23,0.8014542728635682
22,0.7995502248875562
21,0.7955572213893053
20,0.7929685157421289
19,0.793688155922039
18,0.7926486756621689
17,0.7912993503248376
16,0.7920589705147426
15,0.7924737631184409
14,0.7921639180409795
13,0.7894752623688156
12,0.7884807596201899
11,0.7907096451774114
10,0.7864567716141929
9,0.7895052473763118
8,0.7866616691654172
7,0.7879260369815093
6,0.7891054472763619
5,0.7866316841579211
4,0.7886906546726636
3,0.7803948025987006
2,0.7735682158920539
1,0.7682708645677162
