Number of features,All assessments
27,0.8442538759689923
26,0.8425581395348838
25,0.84234496124031
24,0.8423643410852713
23,0.8420445736434109
22,0.8423255813953489
21,0.8400387596899226
20,0.8393943798449612
19,0.8348837209302327
18,0.8350193798449613
17,0.8326744186046511
16,0.8283042635658916
15,0.8247529069767442
14,0.8254263565891474
13,0.8258624031007752
12,0.8242877906976744
11,0.8170009689922481
10,0.8181056201550388
9,0.8131492248062016
8,0.8093846899224806
7,0.8132800387596898
6,0.8076937984496123
5,0.7999612403100775
4,0.7914970930232559
3,0.7869573643410853
2,0.7715310077519381
1,0.7144282945736434
