Number of features,All assessments
27,0.7869830438378826
26,0.7837468982630273
25,0.7828370554177007
24,0.7815653432588916
23,0.7796474358974359
22,0.7767576509511993
21,0.7791098014888337
20,0.7770368072787427
19,0.7761528122415219
18,0.7748242349048801
17,0.772777088502895
16,0.7709341397849462
15,0.7698640405293631
14,0.7717535153019024
13,0.7683028329197684
12,0.7670517990074442
11,0.7604683622828784
10,0.7576483664185277
9,0.7484801488833746
8,0.7471851736972706
7,0.7378903019023986
6,0.7237696443341605
5,0.716708023159636
4,0.7016671836228288
3,0.6826147642679901
2,0.6636605665839536
1,0.6548904052936311
