Number of features,All assessments
27,0.8435747909787115
26,0.8407433429354316
25,0.8379891800744748
24,0.8365980467926649
23,0.8338017283777137
22,0.8317361062319961
21,0.829368369282653
20,0.8306400618281458
19,0.8304222581325089
18,0.8289397878170448
17,0.8290803063303589
16,0.8281107285884917
15,0.8272957212112695
14,0.8256235509028315
13,0.8262734490269092
12,0.825440876835523
11,0.8249877046300851
10,0.8256551675683271
9,0.8248120564884424
8,0.8234174102437997
7,0.8234455139464625
6,0.824794491674278
5,0.8254127731328603
4,0.826066184219771
3,0.816465256797583
2,0.8046757535305277
1,0.7606899459003724
