Number of features,All assessments
27,0.6877254776390223
26,0.6822819938093713
25,0.6802647027430888
24,0.682762301206105
23,0.6770946739246451
22,0.6777671042800726
21,0.6743942790052302
20,0.6781940441882804
19,0.6781406766997546
18,0.676603693030206
17,0.680168641263742
16,0.679037250506991
15,0.6759899669121572
14,0.6792400469633899
13,0.6753495570498453
12,0.6682516810758885
11,0.6650442950154766
10,0.6639129042587255
9,0.6587309211228519
8,0.653340804781727
7,0.6507257978439535
6,0.6511367275056036
5,0.6416052940548618
4,0.6377201408901697
3,0.6245170242288398
2,0.6052566976198099
1,0.5916533247945353
