Number of features,All assessments
27,0.6971631205673758
26,0.6971566139631726
25,0.6978333008003124
24,0.6973062658598479
23,0.6947101307827445
22,0.6963953412713905
21,0.6943587741557682
20,0.6928752683974235
19,0.6930639599193181
18,0.6924100461968898
17,0.691466588587416
16,0.6905166243737394
15,0.6893649554297612
14,0.6906142234367885
13,0.6902368403929988
12,0.6913820027327737
11,0.6909850998763745
10,0.6900676686837139
9,0.6906988092914308
8,0.6884019780076779
7,0.687478040210814
6,0.6801548571800378
5,0.6765794781703429
4,0.6746502700240744
3,0.6683258507384997
2,0.6679940139241329
1,0.6124536404450517
