Number of features,All assessments
27,0.7568708609271522
26,0.7581125827814569
25,0.757087012509198
24,0.7570134289919059
23,0.7593681015452539
22,0.7577216703458426
21,0.7570824135393672
20,0.7533756438557762
19,0.7527961736571009
18,0.7504828918322296
17,0.7483857615894041
16,0.7481328182487123
15,0.7467255334805004
14,0.7434694628403238
13,0.7427750183958793
12,0.7383002207505519
11,0.7371044885945549
10,0.7393671817512877
9,0.7401076158940397
8,0.7402777777777778
7,0.7362306843267108
6,0.7313143855776305
5,0.7259565857247976
4,0.711844646799117
3,0.7114238410596027
2,0.6846486387049301
1,0.6354718543046356
