Number of features,All assessments
27,0.817216391804098
26,0.8169915042478759
25,0.8162518740629686
24,0.8157971014492753
23,0.8129585207396304
22,0.8123388305847076
21,0.81055972013993
20,0.8096901549225388
19,0.8070164917541229
18,0.8054222888555722
17,0.8024787606196903
16,0.80143928035982
15,0.7994902548725638
14,0.8002498750624687
13,0.8019440279860071
12,0.804952523738131
11,0.8057721139430285
10,0.8072663668165918
9,0.8069615192403796
8,0.806471764117941
7,0.806231884057971
6,0.8051624187906047
5,0.802198900549725
4,0.7915442278860569
3,0.7842528735632185
2,0.7739130434782607
1,0.7511694152923537
