Number of features,All assessments
27,0.8592810150375939
26,0.8587562656641603
25,0.8571193609022556
24,0.8563283208020052
23,0.85687656641604
22,0.856140350877193
21,0.8561795112781955
20,0.8565867794486215
19,0.8553884711779449
18,0.8539826127819549
17,0.8533991228070177
16,0.8521146616541353
15,0.8510377506265664
14,0.8514058583959901
13,0.853763314536341
12,0.8538847117794486
11,0.8526002506265664
10,0.8504346804511279
9,0.8494008458646617
8,0.8443883145363408
7,0.8398613721804511
6,0.8392700501253133
5,0.833376409774436
4,0.834703947368421
3,0.8296914160401002
2,0.8143757832080201
1,0.7758184523809523
