Number of features,All assessments
27,0.7269707565162111
26,0.7244000317863956
25,0.7230491099809282
24,0.7193022886204704
23,0.7184281627463445
22,0.7161236490781945
21,0.714033693579148
20,0.7120828035600764
19,0.7112801970756516
18,0.710604736172918
17,0.7088684043229497
16,0.7072373649078194
15,0.7057732040686585
14,0.701994596312778
13,0.6973855689764782
12,0.6966783216783217
11,0.6964180705657979
10,0.6942546090273363
9,0.6929752066115702
8,0.6888032422123331
7,0.6873013350286079
6,0.6828691195168468
5,0.6738914494596312
4,0.6622596153846154
3,0.6562281468531468
2,0.6360259059122695
1,0.6114868086458995
