Number of features,All assessments
27,0.792141472868217
26,0.7908236434108529
25,0.7890213178294574
24,0.7864631782945737
23,0.7831298449612404
22,0.7840988372093023
21,0.7823643410852712
20,0.7836240310077519
19,0.780750968992248
18,0.7799854651162791
17,0.7776405038759691
16,0.7790503875968993
15,0.7784786821705426
14,0.7805717054263566
13,0.7791715116279071
12,0.7771027131782946
11,0.7763856589147288
10,0.7780377906976745
9,0.7780377906976744
8,0.7785658914728681
7,0.7772044573643411
6,0.7794331395348837
5,0.7835658914728683
4,0.7789292635658914
3,0.7755184108527132
2,0.7636240310077518
1,0.7411773255813954
