Number of features,All assessments
27,0.7313632419741743
26,0.7295870974327566
25,0.7293523197060174
24,0.727698667891594
23,0.72637676721278
22,0.7270300617567499
21,0.7268871535752565
20,0.7235492267646608
19,0.7229214515388149
18,0.7241208594906343
17,0.7250446588067166
16,0.7245189608533659
15,0.7220588985862298
14,0.7213086306333895
13,0.721739907109682
12,0.7216735568825601
11,0.7202138518858776
10,0.720938600520594
9,0.7177691012096157
8,0.7139667228091665
7,0.7147552697391927
6,0.7145562190578267
5,0.7127239320165365
4,0.7099576379319145
3,0.6958990455775022
2,0.6836803960598173
1,0.6472770887561885
