Number of features,All assessments
27,0.6887994350282487
26,0.6873870056497176
25,0.6787429378531072
24,0.6821186440677967
23,0.6759322033898305
22,0.6771186440677966
21,0.6764901129943504
20,0.6757485875706215
19,0.6700918079096045
18,0.6706497175141243
17,0.6731920903954802
16,0.6701906779661017
15,0.6710310734463276
14,0.6732062146892656
13,0.6754449152542372
12,0.6776059322033898
11,0.6856920903954803
10,0.6854943502824858
9,0.6782344632768361
8,0.6805155367231638
7,0.6786158192090396
6,0.6823093220338983
5,0.6803248587570623
4,0.6831709039548023
3,0.684074858757062
2,0.6674929378531074
1,0.6037005649717514
