Number of features,All assessments
27,0.7983827160493828
26,0.7984753086419752
25,0.7990185185185186
24,0.796570987654321
23,0.7953333333333333
22,0.796570987654321
21,0.7965895061728394
20,0.7963858024691357
19,0.795891975308642
18,0.7967253086419752
17,0.7969475308641976
16,0.7970586419753086
15,0.7953858024691358
14,0.7970246913580248
13,0.7966512345679012
12,0.796577160493827
11,0.7978703703703702
10,0.7976512345679012
9,0.794077160493827
8,0.7956358024691357
7,0.7982777777777779
6,0.8009814814814813
5,0.7955401234567901
4,0.7784907407407406
3,0.7649691358024691
2,0.7251759259259261
1,0.6486265432098766
