Number of features,All assessments
27,0.7574003067484661
26,0.7567165132924336
25,0.7573939161554193
24,0.7560199386503068
23,0.7574450408997955
22,0.7595379601226994
21,0.7573332055214724
20,0.7563873977505112
19,0.7497475715746422
18,0.7493865030674847
17,0.7487985685071575
16,0.7510352760736196
15,0.7486707566462167
14,0.7503482873210634
13,0.7477185582822087
12,0.7479933537832311
11,0.7476226993865029
10,0.7499297034764826
9,0.7463381901840491
8,0.7433282208588957
7,0.7408997955010224
6,0.74172418200409
5,0.7336113241308795
4,0.7243034253578732
3,0.6921331799591002
2,0.6700121421267894
1,0.6209771216768917
