Number of features,All assessments
27,0.6861290322580644
26,0.6844153225806452
25,0.6812449596774194
24,0.6815625000000001
23,0.6802268145161291
22,0.6802998991935484
21,0.6807232862903225
20,0.6806728830645161
19,0.6782056451612903
18,0.6783921370967742
17,0.676491935483871
16,0.6783820564516129
15,0.6781880040322581
14,0.6778200604838709
13,0.6790347782258065
12,0.674899193548387
11,0.6737500000000001
10,0.6748865927419354
9,0.6733467741935484
8,0.6685660282258064
7,0.6635584677419355
6,0.6638860887096774
5,0.6631275201612904
4,0.6617313508064517
3,0.6371900201612902
2,0.6198790322580645
1,0.5699319556451613
