Number of features,All assessments
27,0.7380029885793574
26,0.7352598996691215
25,0.7317216351798483
24,0.7288984950368235
23,0.7323193510513394
22,0.7322553100651084
21,0.7333279965844807
20,0.7333546803287437
19,0.7348916639982923
18,0.7340271106841711
17,0.7335254562920268
16,0.7317750026683745
15,0.7307610203863807
14,0.7298804568257019
13,0.730051232788985
12,0.7301259472729213
11,0.7301793147614474
10,0.7281513501974597
9,0.7321218913437935
8,0.732804995196926
7,0.7316149002027965
6,0.7323833920375707
5,0.7300192122958693
4,0.7283434731561533
3,0.7218273028071299
2,0.6960614793467819
1,0.6240420535809584
