Number of features,All assessments
27,0.846067415730337
26,0.8462825723165193
25,0.8473344489600765
24,0.8465574946210854
23,0.8469041357877123
22,0.8473344489600765
21,0.8469997609371266
20,0.8456849151326798
19,0.8446808510638297
18,0.843150848673201
17,0.8429356920870189
16,0.8410351422424098
15,0.8418061200095626
14,0.8416327994262491
13,0.8407542433660053
12,0.8400370547453981
11,0.8392541238345685
10,0.8374372459956968
9,0.8364929476452307
8,0.8339409514702367
7,0.8310781735596462
6,0.8279823093473585
5,0.8211630408797512
4,0.8154195553430552
3,0.8056956729619891
2,0.7848673201051877
1,0.756000478125747
