Number of features,All assessments
27,0.7077637827792691
26,0.7043361552756556
25,0.7034586000412967
24,0.7017757588271732
23,0.7032934131736527
22,0.7007794755316951
21,0.6964949411521785
20,0.6981881065455295
19,0.6987198017757588
18,0.698590749535412
17,0.6997418955193063
16,0.7016002477803015
15,0.7041554821391699
14,0.7012698740450134
13,0.6967117489159612
12,0.6934699566384472
11,0.6954367127813339
10,0.6991069584967995
9,0.7015899236010738
8,0.6965672104067726
7,0.7003768325418129
6,0.699757381788148
5,0.6907134007846377
4,0.6888447243444147
3,0.6775655585380962
2,0.6518583522609952
1,0.6164619037786497
