Number of features,All assessments
27,0.7667449139280125
26,0.7669796557120501
25,0.7648278560250391
24,0.768622848200313
23,0.7680359937402191
22,0.7695618153364634
21,0.7652190923317683
20,0.7632237871674491
19,0.7625586854460094
18,0.7652582159624413
17,0.7635758998435055
16,0.7638693270735524
15,0.7657863849765258
14,0.7664906103286385
13,0.7578638497652582
12,0.7544014084507042
11,0.753716744913928
10,0.7557902973395931
9,0.7567488262910799
8,0.7550665101721441
7,0.7529538341158062
6,0.7511541471048513
5,0.7483372456964006
4,0.7442879499217527
3,0.7437402190923319
2,0.735093896713615
1,0.7139475743348982
