Number of features,All assessments
27,0.8902657128257536
26,0.8862800204394482
25,0.8858967807869188
24,0.8859734287174245
23,0.8822943280531426
22,0.8812979049565662
21,0.8816300459887584
20,0.872100153295861
19,0.8712059274399591
18,0.8733265201839551
17,0.8732754215636177
16,0.8704394481349003
15,0.8656872764435359
14,0.8684721512519161
13,0.8670924885028104
12,0.8647930505876342
11,0.866543178334185
10,0.8649335717935616
9,0.8695068983137455
8,0.8670413898824731
7,0.8647675012774654
6,0.8670669391926419
5,0.8648824731732242
4,0.8561446090955543
3,0.8496039856923863
2,0.8535130301481859
1,0.7974450689831374
