Number of features,All assessments
27,0.8443783783783785
26,0.8423513513513514
25,0.842527027027027
24,0.8415810810810811
23,0.8419324324324323
22,0.8384594594594594
21,0.8373108108108107
20,0.8375405405405406
19,0.8357837837837838
18,0.8359864864864864
17,0.8355
16,0.8341351351351352
15,0.8342432432432432
14,0.8342432432432432
13,0.8306081081081083
12,0.8297297297297297
11,0.8304864864864866
10,0.8280945945945947
9,0.824918918918919
8,0.8230743243243243
7,0.8159864864864865
6,0.8122364864864864
5,0.8108040540540541
4,0.8055540540540541
3,0.7993716216216216
2,0.7868175675675677
1,0.7564797297297298
