Number of features,All assessments
27,0.8082965902410347
26,0.8068709582598472
25,0.8059817754262198
24,0.8046957671957673
23,0.8034171075837742
22,0.8044900058788947
21,0.7998603762492652
20,0.7986992945326278
19,0.7994488536155203
18,0.7951572604350382
17,0.7966196355085244
16,0.7950029394473839
15,0.7948486184597296
14,0.7949955908289242
13,0.792688124632569
12,0.7933862433862434
11,0.792607289829512
10,0.7934597295708408
9,0.7893371546149325
8,0.788639035861258
7,0.7887713109935331
6,0.7888962375073486
5,0.7870958259847148
4,0.7813124632569077
3,0.777770429159318
2,0.7731995884773663
1,0.7476851851851853
