Number of features,All assessments
27,0.7267648963730569
26,0.7231703367875647
25,0.7188795336787565
24,0.716985103626943
23,0.7176327720207254
22,0.7158516839378238
21,0.7099417098445595
20,0.7111884715025907
19,0.7092454663212435
18,0.7094073834196891
17,0.7061366580310882
16,0.7051489637305699
15,0.706395725388601
14,0.7020887305699481
13,0.7012305699481864
12,0.6996437823834197
11,0.697223121761658
10,0.6950453367875647
9,0.6862046632124352
8,0.6777444948186528
7,0.6762386658031089
6,0.6723931347150258
5,0.6606298575129534
4,0.6487694300518134
3,0.6406411917098446
2,0.6317843264248706
1,0.5722150259067357
