Number of features,All assessments
27,0.7729128014842301
26,0.7671846011131725
25,0.7634740259740259
24,0.7624768089053802
23,0.7598678107606678
22,0.7583024118738404
21,0.7561572356215213
20,0.7551832096474953
19,0.7524814471243043
18,0.7515769944341373
17,0.7529684601113172
16,0.7531655844155842
15,0.7512175324675325
14,0.7493854359925789
13,0.7479359925788498
12,0.7522147495361782
11,0.7466198979591837
10,0.7451762523191094
9,0.7445674860853433
8,0.744022495361781
7,0.7408511131725417
6,0.7330878942486084
5,0.7309775046382189
4,0.7271973562152134
3,0.7194515306122449
2,0.7121115491651205
1,0.6962314471243043
