Number of features,All assessments
27,0.8529957479706225
26,0.852667182064167
25,0.8531890220332432
24,0.8544259760340163
23,0.853633552377271
22,0.8520293776575183
21,0.8522613065326634
20,0.8539234634712022
19,0.8522613065326633
18,0.8508504058755315
17,0.8490722844994203
16,0.8508117510630073
15,0.8476903749516815
14,0.8469752609199845
13,0.8433030537301894
12,0.843902203324314
11,0.841766524932354
10,0.8416312330885194
9,0.8415635871666023
8,0.8365771163509856
7,0.8329532276768458
6,0.8322864321608041
5,0.8318902203324313
4,0.8251642829532276
3,0.8275802087359876
2,0.8246810977966759
1,0.8045419404715887
