Number of features,All assessments
27,0.7851122994652406
26,0.7816577540106951
25,0.7784598930481283
24,0.776192513368984
23,0.7760641711229946
22,0.7751229946524064
21,0.7763529411764705
20,0.7709732620320855
19,0.772331550802139
18,0.7664278074866311
17,0.7687914438502674
16,0.7673475935828876
15,0.7661711229946524
14,0.769764705882353
13,0.7721176470588236
12,0.7701176470588236
11,0.7689304812834225
10,0.7699572192513369
9,0.7666042780748663
8,0.7637433155080214
7,0.7623422459893047
6,0.7575187165775401
5,0.7466898395721925
4,0.7368823529411764
3,0.7277486631016044
2,0.7294171122994653
1,0.7068502673796792
