Number of features,All assessments
27,0.7488680718188914
26,0.7461488420504814
25,0.7454722872755659
24,0.7445225084569347
23,0.7412958626073379
22,0.7362607338017174
21,0.7369372885766329
20,0.733151183970856
19,0.7324095758521988
18,0.7310694769711163
17,0.7318501170960188
16,0.7290918553213636
15,0.7302107728337235
14,0.7255009107468123
13,0.727296383034088
12,0.7317850637522769
11,0.7286625032526671
10,0.7306921675774135
9,0.7269320843091335
8,0.7284673432214416
7,0.7352459016393442
6,0.7225735102784283
5,0.7169594067135051
4,0.7131147540983607
3,0.6952576112412178
2,0.6795147020556855
1,0.6522638563622171
