Number of features,All assessments
27,0.7263606459330143
26,0.7243421052631578
25,0.7241925837320574
24,0.731534090909091
23,0.7274072966507177
22,0.7263008373205742
21,0.7300388755980862
20,0.7283941387559808
19,0.7195873205741627
18,0.7187799043062201
17,0.7243570574162679
16,0.7264354066985647
15,0.7235795454545455
14,0.7269886363636364
13,0.7274521531100478
12,0.7275568181818182
11,0.7244766746411484
10,0.7311752392344497
9,0.723758971291866
8,0.7248654306220095
7,0.7262111244019138
6,0.7292165071770336
5,0.7276913875598086
4,0.7317434210526315
3,0.7415071770334929
2,0.7467105263157895
1,0.6608851674641149
