Number of features,All assessments
27,0.882054890921886
26,0.8767769176636172
25,0.8754222378606615
24,0.8738212526389866
23,0.8733462350457424
22,0.8738036593947923
21,0.8732054890921888
20,0.872853624208304
19,0.8719563687543983
18,0.8716748768472907
17,0.8703377902885292
16,0.8685256861365236
15,0.8665200562983812
14,0.8652709359605911
13,0.8629046446164674
12,0.8646375791695989
11,0.8646815622800844
10,0.862887051372273
9,0.8637491203377904
8,0.8637315270935961
7,0.8558409570724843
6,0.8496745249824068
5,0.8422501759324419
4,0.8391097818437719
3,0.824929627023223
2,0.792171006333568
1,0.7571076706544686
