Number of features,All assessments
27,0.7942077020202021
26,0.795580808080808
25,0.7895833333333333
24,0.7888099747474748
23,0.7885258838383838
22,0.7868686868686868
21,0.7866319444444445
20,0.7876262626262627
19,0.787231691919192
18,0.7887152777777778
17,0.7911773989898989
16,0.7897095959595959
15,0.7886521464646464
14,0.7889362373737374
13,0.786032196969697
12,0.7879261363636363
11,0.7871054292929293
10,0.7874447601010102
9,0.78510101010101
8,0.783956755050505
7,0.7847143308080808
6,0.7845012626262626
5,0.780374053030303
4,0.7763178661616161
3,0.7722222222222221
2,0.774905303030303
1,0.7379498106060607
