Number of features,All assessments
27,0.7754292147481003
26,0.7768083309878976
25,0.7767238952997468
24,0.7763157894736842
23,0.7728961441035744
22,0.770334928229665
21,0.7674078243737686
20,0.7661975795102729
19,0.7641992682240359
18,0.7622291021671825
17,0.7603855896425555
16,0.7579650999155644
15,0.7586968758795385
14,0.758809456797073
13,0.7601041373487194
12,0.760357444413172
11,0.7626583169152827
10,0.7580917534477907
9,0.761384745285674
8,0.7590135097101042
7,0.7571981424148606
6,0.7505980861244018
5,0.7435406698564595
4,0.7340275823247959
3,0.7254010695187165
2,0.7010273008725021
1,0.6972347312130595
