Number of features,All assessments
27,0.7871707317073171
26,0.7885243902439024
25,0.7902439024390244
24,0.7870853658536585
23,0.7846707317073172
22,0.7849268292682927
21,0.7829756097560976
20,0.7825609756097561
19,0.7835609756097561
18,0.7841463414634147
17,0.7847560975609756
16,0.7841341463414634
15,0.784390243902439
14,0.7774878048780488
13,0.7788048780487806
12,0.777841463414634
11,0.7784146341463414
10,0.7798536585365852
9,0.7785243902439024
8,0.7790853658536585
7,0.7759756097560976
6,0.7863048780487805
5,0.7896829268292682
4,0.7913902439024391
3,0.7660609756097562
2,0.7567560975609757
1,0.6955487804878049
