Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.8159477204393446,0.8512916487697122,0.8385130289266077,0.8346581400908438
26,0.8184328404000737,0.8496655826225685,0.8383636146306479,0.8341800143437724
25,0.8187089648401545,0.8482235994354789,0.8379153717427683,0.8335823571599331
24,0.8218997361477572,0.8480701969687673,0.8373774802773128,0.8358833373177146
23,0.8190464502669204,0.842240903233724,0.8368993545302414,0.8342098972029645
22,0.8183101184267043,0.8408909615266613,0.8374970117140808,0.8335823571599331
21,0.8082162361170768,0.8523654660366939,0.838333731771456,0.834568491513268
20,0.8073571823034914,0.8523347855433515,0.840037054745398,0.8344788429356922
19,0.8075105847702031,0.8528256734368289,0.8383486732010519,0.8362269901984223
18,0.8084923605571578,0.8529483954101982,0.8415013148458045,0.8364809945015539
17,0.8106706755844634,0.8531017978769099,0.840993306239541,0.8348374372459957
16,0.8083389580904461,0.8541142541572068,0.8369591202486255,0.8333134114272054
15,0.8072651408234645,0.8493434374424741,0.8362568730576141,0.8330743485536697
14,0.8107320365711481,0.8497883045959379,0.8374820702844848,0.8295780540282095
13,0.8079707921703381,0.8483770019021906,0.8353603872818551,0.8286666268228544
12,0.8128489906117691,0.8461373258882002,0.8388566818073154,0.8250956251494144
11,0.8134472602319445,0.8482389396821501,0.8338363614630648,0.8205683719818312
10,0.8113149659446524,0.8471037614284839,0.8413817834090365,0.8204637819746592
9,0.8087378045038964,0.843529483954102,0.8420690891704519,0.8182524503944537
8,0.805654414922992,0.8480548567220962,0.8374671288548888,0.8149354530241454
7,0.8084463398171442,0.8503405534760999,0.8378705474539805,0.807868156825245
6,0.804918083082776,0.8477173712953304,0.8387670332297394,0.8061797752808989
5,0.7971252377738234,0.8450481683745473,0.8343144872101362,0.7986194119053311
4,0.8001165858747008,0.83495428606492,0.8109759741812097,0.7978275161367441
3,0.7814475056758913,0.8255046941154813,0.8219878077934496,0.7934646186947166
2,0.7491562864330858,0.8102411486776707,0.8093921826440355,0.7621025579727468
1,0.707983064367675,0.7689605448855616,0.7756843174754959,0.7511654315084868
