Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7567926927968552,0.793632211816395,0.7221704161324163,0.7523241206030151
26,0.7503757659845068,0.7884148456468957,0.7111842872129619,0.7518718592964824
25,0.7544802867383512,0.7928517747716498,0.7093484089054669,0.7450125628140704
24,0.7464446756850502,0.7904237484102209,0.7128744608928779,0.7433793969849247
23,0.7486559139784946,0.7844982078853047,0.7027042778878658,0.7375251256281408
22,0.7461122673141404,0.7779223031564343,0.7061720480242453,0.7390075376884422
21,0.7463435079199907,0.7792230315643427,0.7050064110036135,0.7436306532663317
20,0.7465458434501098,0.7790206960342236,0.7035785056533396,0.7424120603015075
19,0.7329604578563996,0.7790496011099549,0.7096689590861407,0.7470854271356785
18,0.7329893629321308,0.7707827494508036,0.7089404359482457,0.7492085427135678
17,0.7239998843796971,0.7707104867614754,0.707483389672456,0.751532663316583
16,0.7236530234709214,0.7710862527459822,0.713704977270078,0.7337437185929648
15,0.7222944849115505,0.770103480171118,0.6964972607530016,0.7366959798994975
14,0.7225835356688635,0.7705659613828189,0.6936851614407273,0.7394346733668341
13,0.7180598913169154,0.7645826107064402,0.6940785639351905,0.7387814070351759
12,0.7132182911319228,0.7646115157821713,0.7013200839258655,0.7399497487437187
11,0.7134784368135045,0.7616921031333101,0.6971092201888333,0.7404396984924623
10,0.7085212163255867,0.7593652445369407,0.6929712087655904,0.7420477386934673
9,0.7205312752919414,0.7539021852237252,0.6928692155262851,0.7391708542713568
8,0.7232917100242803,0.7170482136663199,0.6853362862804524,0.7312939698492462
7,0.7165279223031564,0.7160654410914558,0.6816353887399463,0.7255653266331658
6,0.7063533356457394,0.6963088218291131,0.6779636321249563,0.7076256281407034
5,0.6947768528153544,0.7020464793617759,0.6702412868632708,0.704145728643216
4,0.6890825528962885,0.7173517169614985,0.6758072036367875,0.6965201005025126
3,0.6315614521910048,0.6841397849462366,0.6603916540389323,0.6622989949748744
2,0.5739969938721239,0.6801219794195861,0.6271855694136845,0.6449999999999999
1,0.549355416811192,0.6357960457856401,0.5840424291875511,0.6237437185929648
