Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.8106708106708107,0.7786842786842787,0.806137913614549,0.8263225518127479
26,0.8113830613830614,0.783993783993784,0.8050012629451881,0.825931512206022
25,0.8144910644910643,0.782051282051282,0.8059484718363222,0.8272163566281213
24,0.8118363118363118,0.781144781144781,0.8063273553927759,0.8269929054242781
23,0.8190883190883191,0.7730833980833982,0.8017176054559232,0.8288922406569466
22,0.815980315980316,0.7737308987308988,0.802033341752968,0.8288084464555053
21,0.8141025641025642,0.7734718984718985,0.8000126294518818,0.8258477180045808
20,0.815980315980316,0.7750259000259,0.7911720131346299,0.8279146416401318
19,0.8168868168868167,0.7736985236985238,0.7944556706238949,0.8276911904362885
18,0.8163688163688164,0.7740870240870242,0.7843521091184643,0.8313502038992235
17,0.8173400673400673,0.7737308987308987,0.7851098762313715,0.8348136975587956
16,0.8207070707070707,0.774119399119399,0.7876357666077292,0.8397016926428693
15,0.824009324009324,0.775058275058275,0.7914877494316748,0.836294061784258
14,0.8196710696710696,0.7731157731157732,0.79385577165951,0.8325233227194011
13,0.8192825692825692,0.7718207718207719,0.7859307906036878,0.8273839450310038
12,0.8137464387464387,0.7753172753172753,0.7852361707501895,0.8245349421820011
11,0.8134874384874384,0.7783281533281533,0.7906984086890628,0.8196748784984079
10,0.8055231805231805,0.7668350168350169,0.7826471331144228,0.8149824032176973
9,0.808048433048433,0.7773569023569024,0.7625663046223794,0.8119378805653317
8,0.8037425537425538,0.7750906500906501,0.7706491538267239,0.8198424669012905
7,0.8087606837606838,0.7768389018389019,0.7663235665572115,0.812887548181666
6,0.8035159285159286,0.7786842786842786,0.7724804243495833,0.8000391039606726
5,0.8115449365449364,0.7736985236985238,0.7707123010861328,0.8056253840567567
4,0.7908896658896659,0.7835405335405335,0.7660078302601667,0.7954862856823641
3,0.7757705257705259,0.771982646982647,0.734781510482445,0.7912127814088599
2,0.7583851333851334,0.7766446516446516,0.7111960090932054,0.7761856879503939
1,0.7364672364672364,0.7601657601657601,0.6951566052033342,0.7811574772359086
